DEREIA EGOISMO LEREIA
AMORDEMAE DESEJADOTHUNDER TENTOMIDNIGHT
MAGICSURVIVOR DROSSELMEYER MAGICRAFAELA
REQUINTEDEBIRIGUI MELLONMARTINI LENDADEBIRIGUI
ZAZAGLORY SILVERTRAIN SIPHONETTE
TOPVIEW TOPHAT LAROUSSE
SABBRA AGNESGOLD SOLENNITA
EFETIVOBULL BENNYTHEBULL SANIDADE
FONTANADIDUBAI EMIRATESTODUBAI SPEEDDAUGHTER
CHAPPELLET POUNCED CHIANTI
PRIMACLASSE QUEFENOMENO AQUIDAUANA
TANGOMANIA SOLDIEROFFORTUNE RENANIA
OLIUMA TIGERHEART SCUM
STRONGARM JEUNETURC TAKETWO
POTTSPEPPER REDATTORE POPLADY
SUPERROCK ROCKOFGIBRALTAR ESTRELADOCEU
FULLOFFUN SIGNALTAP IDEALITE
ZAGORSKI SILVERTRAIN RIVOLTELLA
ZEITPUNKT SILVERTRAIN LOUCAESEXY
LONGEDEMIM THAPPROVAL REFINED
SIRBRUNO TOPHAT INEGRITA
LAVICTORIASQUARE ROCKOFGIBRALTAR YIN
GALANG AMIGONI ARACELIA
ANUNCIATTA PIONEERING SEGOVIA
FORCEOFONE PUTITBACK ALPARGATA
MARCOPOLO TOPHAT MUSICOFLOVE
PATETA TOPHAT XOUDEARUMBA
BARISHNIKOV WATCHMON BETTERTOGETHER
LEITERICCA ROCKOFGIBRALTAR ESPETACULAR
FLYFREE ADRIANO ALMADELRIO
CONDEDOJAGUARETE PUBLICPURSE FORMOSA
DIVINO FIRSTAMERICAN EVIAN
ROLETADEBIRIGUI KARADEBIRIGUI ENCANTODEBIRIGUI
LOOPHOLE PIONEERING PRONTANAHORA
GAROTADOCAMBUCI SIPHON CORDOCEU
IMPREVISIVEL IMPRESSION SAYAKA
HOTTEMPERED PIONEERING MARYLOU
TUPACERETA QUICKROAD KATITAPORA
DARKNESSLOVE TONEMAI PRINCESSOFLOVE
ZUZUBEM FIRSTAMERICAN PURACLASSE
RELEVODEBIRIGUI KARADEBIRIGUI INDIANADEBIRIGUI
REVISTADEBIRIGUI KARADEBIRIGUI NINFETADEBIRIGUI
RADARDEBIRIGUI MELLONMARTINI JIBOIADEBIRIGUI
ARROCHA POUNCED AVONLADY
GRANDAMIGA AMIGONI GRANDENTRANCE
MRGLOW MRNEDAWI QUARESMEIRA
AUREADECAMPEA NORWAYBOY NESSUNAPIUBELLA
RELINQUERE SOLDIEROFFORTUNE GRACRUZ
HANOI PLENTYOFKICKS INTHEBEACH
RELUCERE SOLDIEROFFORTUNE HILARIS
LOMENDEL THAPPROVAL DANGERHAIL
GRANADINO YAGLI TOCADA
TRUDI EYEOFTHETIGER PRINCESATATA
RAVENSWOOD REDRUNNER ANANIBIA
OFELYA TIMEO JUJULET
TACADACERTA KAPODITUTTI FORVICTORY
FORESTTROPICAL QUEFENOMENO BOWTIE
SIBIRSKAYA REDATTORE SMARTTIFFANY
BIGBRAIN TIGERHEART RAINHAFELIZ
LEAODAMONTANHA UNBELINI NAGUILE
PARTYALLNIGHT QUEFENOMENO BOLLINGER
PROMAIS CRAFTYCT ZEFABULOSA
BLASTER INEXPLICABLE BLESSEDVALLEY
DOTTOREMAGI MOLENGAO PRECIOUSRAFAELA
JOHNGALLIANO ROCKOFGIBRALTAR CHRISTMASNIGHT
LADOROTHEA ROCKOFGIBRALTAR ODOIA
ORNOIR SOLDIEROFFORTUNE ANNEESDOREES
YOSHIKOVERDE HINTONWELLS PIERSEVENTEEN
LAM INEXPLICABLE HODLER
LEMBRANAMADISON THAPPROVAL REINACAROLINA
GAM CRAFTYCT LONDRINITA
CASHDOJAGUARETE PUBLICPURSE FLOWERFEST
LEPETITVERT ZITROMAX CASUARINABRAVA
GRECIACENTRAL CRAFTYCT GREGA
CAU FIRSTAMERICAN PONTANETA
SIRINX PUBLICPURSE ILAURA
JANEIROCHUVOSO ROCKOFGIBRALTAR ZIZIDIOR
MAGICNAIF PLENTYOFKICKS PAINTERSDREAM
XINGTONG POUNCED KELLYBABY
JAVASSONG PUTITBACK AJUSTADA
LADYROSIE REDROCKCANYON JURERE
ICELANDIC SILENTTIMES ICECOLD
LAWCOURT SOLDIEROFFORTUNE RETHONG
AVISALA BOLDSTART UNIQUEFEMME
LUCANO MENSAGEIROALADO LAFLEUR
FORTKNOX QUICKROAD BRENDASCHOICE
GRANDEMARJORY SIPHON SWEETROSE
RAPIDATIS TIGERHEART MARIACALLAS
FLUUP WILDEVENT ALICEHOOP
TINASECRETS CHRISTINESOUTLAW LUCKYLOVE
SENSUAL MRANGRA PEROLADOBRASIL
GIORGIODECHIRICO SIPHON UNICABAMBINA
LONERAVER YAGLI HAKUNAMATATA
TINABELLUCCI CHRISTINESOUTLAW JUDY
PINKFLOYD IMPRESSION INVERNESSGARDEN
GALBAS INEXPLICABLE SAARA
LOBENJO CAPETOWN YUPPIE
PINGADABOA QUEFENOMENO DIVINALOUCURA
KAROLKING ROCKOFGIBRALTAR SAGACITA
FOMEDEAMOR ROYALATLANTIC BONECACOBICADA
FREEWAYSPEED WILDEVENT VIACONDOTTI
LORNASIMPSON YAGLI GREENRUNNER
GLORIAMAIOR CRAFTYCT BELLACY
ZILLA SILVERTRAIN EIMPOSSIVEL
FILOMENAMINHA SOUTHAMPTON MISENORA
OLYMPICHAVANA DUBAIDUST VERAMENTEBELLA
BISHOPSQUEST ROCKOFGIBRALTAR BOMBAYBICYCLE
LOSTINTHEWORLD ROCKOFGIBRALTAR GETLOST
CEFASDOJAGUARETE PUBLICPURSE DIVINAPAT
FOFALINDA PUBLICPURSE HILLIE
PARISPLIT QUICKROAD PARISIT
ROCKYROAD QUICKROAD MAUI
NOGUEIRINHA SOLDIEROFFORTUNE IJUBINHA
QUINTADIMENSAO AGNESGOLD ENERGIAECOLOGICA
OLEOQUENTE BENNYTHEBULL IGANINJA
ZISKABLADE BLADEPROSPECTOR NATLA
GHIZA DUBAIDUST MARAVILHOSA
LETERADAMORE MRNEDAWI HEARTOFTHEOCEAN
GARBOSAMARI ROCKOFGIBRALTAR FLEURDELACOUR
LIBERTYCORNER SETEMBROCHOVE IRMADOHOMEMRA
FUTUREQUEEN WILDEVENT BRIDGEQUEEN
PATOBRIEN QUEFENOMENO AMARANTA
FLAGSTAFF ROCKOFGIBRALTAR SANTACANDIDA
SPEEDSPY UNBELINI CRISTIANASTARINA
LOVEYOURLOOK SETEMBROCHOVE CARLY
ZIPHION SILVERTRAIN POLEPOSITION
OLYMPICHOTEL SOLDIEROFFORTUNE POSEIMPERIAL
OTILIA TIMEO PETITECURIE
AGNESLOVE AGNESGOLD FORLOVE
LOVELYWELLS SOLDIEROFFORTUNE DANNYWELLS
NUMERO JEUNETURC MISSNUMBERONE
FRANK SETEMBROCHOVE ABBAYE
KOREA TOPHAT ANETTY
JUJUPOPULAR ALARAB REFUGEE
REGALHIPNOS DROSSELMEYER JOANAFRANCESA
GREATVISTA PIONEERING ALTAVISTA
VALENTEDUQUE PIONEERING DUCHESSENOIRE
JURUA SILENTTIMES JUJUBA
SAIDAFRENTE SOLDIEROFFORTUNE KEMINT
OURODASERRA AGNESGOLD LAGRIMADEAMOR
ROSADEBIRIGUI NEDAWI INVEJADEBIRIGUI
PETERPILOTTO ROCKOFGIBRALTAR PEPSIFLY
SIXGUY SILENTTIMES BABYSIX
OLYMPICHORIZON CONCLUSIVO OIFILHA
DEUSADOOLIMPO CRIMSONTIDE OBEDIENTCATHY
GIRLPARISIENSE EYEOFTHETIGER VYATKA
AIGUA MOLENGAO VALETZA
APPLEPIE PLENTYOFKICKS ANOTHER
FEITOAMAO REDATTORE DOUBLEDREAM
IPERSEVERED REDROCKCANYON VESPABELA
FIERA WILDEVENT ROMANYQUEEN
RABODEPALHA YAGLI NACHT
JAGUARIBE UNIONAVENUE GLASGOW
RODEIODEBIRIGUI VETTORI GLORIADEBIRIGUI
ZAGAIEIRO SILVERTRAIN ONCALIGEIRA
WHIPLASH YAGLI LACOCAGNE
EARTHQUAKE ROCKOFGIBRALTAR UPGRADE
LEDACATUNDA YAGLI EXPLORA
CLOUDDOJAGUARETE PUBLICPURSE CINEASTA
CLEODOJAGUARETE ADRIANO LAGATITA
RAF IMPRESSION INNOCENTLADY
ROJAODEBIRIGUI KARADEBIRIGUI JOIADEBIRIGUI
CASSARINA SAUFAR PIECEOFCAKE
FORTDAUPHIN PLENTYOFKICKS NAOMI
BAALGAYSAR REDRUNNER CATMELODY
GIBRALTARPOINT ROCKOFGIBRALTAR RARITE
LEONFERRARI CAPETOWN SOFIASCHOICE
LEGENDTHUNDER DESEJADOTHUNDER LEGENDLOVER
OLYMPICHARBOR DIDIMO OLYMPICCOURTESY
SEDUTOR MRANGRA ICANFLY
MASSIMUSMARC NEDAWI MISSKIN
DOCDOCDOC SOLDIEROFFORTUNE COLORSPLASH
RICHIESTA TIGERHEART ENDLESSBEAUTY
LONDONBUS FLYMETOTHEMOON JUJUWILLIE
RESSACADEBIRIGUI KARADEBIRIGUI ESQUISITA
ALLEZPIAF POUNCED ALLEZCHIARA
GARBOSABIANCA SIPHON CARINAMIA
PARISTEXAS VETTORI PINCELADA
GYOZA AGNESGOLD PRINCESSWOODMAN
NINACLARA REDATTORE ESTRELAMAGICA
ZUMZUMZUM NEDAWI HEYCELINA
VELOCITYFREE SKYPILOT JARKA
LELIANEWORK THAPPROVAL BEELINE
HIGHFLY WATCHMON HIGHCASTLE
FACON CHRISTINESOUTLAW HIPPIEJACK
VIOLETSPRING MRNEDAWI PALMSPRING
ESTIMADAPATROA PUTITBACK VELOCITYBABY
FRITZLANG TIMEFORFUN PEROBAROSA
SUPEREI VETTORI LUCIEMARIE
SUPERREI VETTORI LUCIEMARIE
FISHERKING ADRIANO TOTALMENTEDEMAIS
UNIVERSALGLORY HONOURANDGLORY UNIVERSALWATCH
TALOUKIIRAN SOLDIEROFFORTUNE ALWAYSYOU
SUPERSTART BOLDSTART IPANEMAPOINT
FIMDOMUNDO MRNEDAWI PEROLAMIA
FIFIQUEEN CRIMSONTIDE FLIGHTFENIX
FOOLISHTIGER NORWAYBOY IASMINNORMAND
PARQUENACIONAL QUEFENOMENO CRYSTALLOVE
XTREMEDREAM ELMUSTANSER UFORIA
FEWGOOD PUTITBACK VEGASVACATION
PONSARDIN PIONEERING IFYOUWANT
CAMISBRASILIS SIPHON ARGENTAFORS
LOCAROLA THAPPROVAL ZECAROLINA
LOUCOPORELA THAPPROVAL FARUSCA
TANTINY TIMEO TCHELONA
CEUSOLSULF FIRSTAMERICAN INDIAPEREGRINA
LATIFAH CAPETOWN AVRILDOREE
MENINALEVADA DROSSELMEYER CHARMASONG
FILLMORE WILDEVENT OFFICIALGLORY
PROXIMASEXTA DIDIMO GARBOSASEXTA
QUATERMAIN GLORIADECAMPEAO DESIGN
MARAUD QUICKROAD MANGIAPANE
FITZWILLY ADRIANO RIGHTIDEA
CYNDIDOJAGUARETE PUBLICPURSE DONADAFE
RAINHADEBIRIGUI PUTITBACK LOVELYMINISTER
SLAMTRAIN SILVERTRAIN SLAMOFROYALTY
ZITRONESODA BLADEPROSPECTOR PEPPERMINTSODA
FLAVOURED CHRISTINESOUTLAW ONTHESHOW
FLORDEDAHLIA TOPHAT FILHAVITORIOSA
FERAVELOZ PUTITBACK DEEPBAY
BOMGOSTO AGNESGOLD INTHESAND
MOMENTCOURT NOBLECOURT EILEENSMOMENT
MARGOTSTAR ROCKOFGIBRALTAR POLADA
LAFURIASULISTA ZITROMAX AUSTRALIANWAVE
BACOMMANDOS SETEMBROCHOVE LILLYSPRING
ALLIE POUNCED AFFINITY
LACRIMADEFOGO THAPPROVAL PAYCASH
ONTEM ADVOGADO LINDALO
NIMBUSCASABLANCA PUBLICPURSE TROPICALMOUNTAIN
SAUSALITO PUBLICPURSE NETHERLANDS
DAUZIGSTORM ROCKOFGIBRALTAR GIRLNIGHT
FARINHASECA SOUTHAMPTON ESTRUTURAL
VIDAO SKYPILOT DESEJADACENTRAL
VALERIADAPISTA OUTOFCONTROL DAMADAPISTA
TOTENTANZ QUEFENOMENO VECHIAGUARDIA
GIRLSPECIAL ROCKOFGIBRALTAR ECCEZIONALE
LACAPERUZA ZITROMAX BIRKENSTOK
ARAELDASERRA IMPRESSION BACKFORGOOD
HIGHWAYTOHELL ANOTHERXHOW ANAPARTISTE
LARRYSCHIMTZ SOLDIEROFFORTUNE DONNAYRE
SOLDIEROFMIND SOLDIEROFFORTUNE SIMPLEMIND
LINDALE THAPPROVAL YEOMENGUARD
SORAMARGHERITA BOLDSTART STORYOFUS
MRMARTINI MELLONMARTINI HOLDMYHEART
FLEXADOURADA FIRSTAMERICAN ULTIMAPALAVRA
FELICITYWIND PUBLICPURSE FREEWIND
UNBROKEN ROCKOFGIBRALTAR QUESTAAFLEET
SOLDIEROFMONDESIR SOLDIEROFFORTUNE FACTORY
GLACEON WILDEVENT FELICIDADEBELA
FRAPPATORE MRNEDAWI TRANSLUCIDA
GENERALCOELHO ROCKOFGIBRALTAR OLYMPICZARCA
FORFINISH CHRISTINESOUTLAW HORTENCIA
FIREINTHESTRAW NEDAWI DESEJADAMAGEE
ZAPZAP SOLDIEROFFORTUNE BESOFAIR
PALMBAY QUEFENOMENO RUSSIANBALLET
BOLDRETRIEVER BOLDSTART THUNDERDORF
LOIROMEN ROCKOFGIBRALTAR ZONAFATAL
FORTUNEDANZ SOLDIEROFFORTUNE QUEENDANZ
JANELAINDISCRETA MASTROLORENZO MILHECTARES
MARIDORICO PLENTYOFKICKS VIUVARICA
VISIBLE KIKMALO ATENDADAFIGHTER
LEFIN THAPPROVAL QUEIMADA
OUROPRETO DESEJADOTHUNDER GRAZIELLE
GALE SIPHON QUICKEMPIRE
FIREHORSE SOUTHAMPTON EH
LASELVAGEM THAPPROVAL TOPDODGE
FASTQUIFO CHOCTAWRIDGE FADADEBIRIGUI
LEGITIMADEFESA VETTORI SUPERVITORIA
LUPODELANOTTE AEROSOL BEEMOVIE
LOVEDOIGUASSU AGNESGOLD FLYINGTRIP
MAGICFLOWER GOODREWARD JACIARA
MERMANNGOLDA THAPPROVAL ALTOSEBAIXOS
GATALINDA WILDEVENT LAFASCINANTE
JAPANBAY AMIGONI BLITZTHREE
ALTOLA REDATTORE FARDAQUALITY
MARYJANE THAPPROVAL CLUBMED
GRAMASTER WATCHMON RIPANAXULIPA
MARGAERY AGNESGOLD SOPHIESSALAD
ARTEOLIMPICA FORESTRY ANAFLAVIA
SLAMOFCAT FORESTRY FLIPPERSGAIS
WAVESTRONG SKYPILOT NENANREINA
GATOARISCO BELUR JULIADONNA
GOIABAVERDE NUGGETDOFAXINA AGACHADATCHE
GATOLINDO PIONEERING SUNSHINEINDY
GRANDRISQUE PUTITBACK SAPHIRINE
HULABALOO TIGERHEART RAINHADABATERIA
MEDIUMWILL CAPETOWN ERMENEGILDA
HAYASUERTE NEDAWI HITCHHIKE
MENGOMIL THAPPROVAL YIDDISHMAMA
ROYALFORESTRY FORESTRY BELAVAL
FORTECHEYENNE KODIAKKOWBOY NORMANDIE
PERQUESTA NEDAWI PINEIGHTY
ESQUENTA PLENTYOFKICKS EXPERIMENTA
HIMALAIA PUTITBACK MORENAMATTE
GASOLINAPURA ADRIANO BLAIRE
ACTEONGAUCHO ACTEONMAN SORRISOTA
SANSAODEBIRIGUI KARADEBIRIGUI QUANTOEBELLA
MOONBAY PIONEERING FULLMOON
UNOKODIAK KODIAKKOWBOY UNAFRUTILLA
OLYMPICIBERIA CONCLUSIVO OLYMPICBALLERINA
SANGUEDEBIRIGUI KARADEBIRIGUI MENINADEBIRIGUI
SHAPEOFYOU QUICKROAD MANIADEVOCE
HERMINIALIPS SIPHON NICELIPS
COOLQUARTER CHOCTAWRIDGE CULLBERGBALLET
GRAVIOLASILVESTRE NUGGETDOFAXINA ANTUBELLUNLADYS
NEVERLAND PLENTYOFKICKS LUTADAGUANABARA
GAVINHA WILDEVENT REDTULIP
MOONSHADOW TIGERHEART HIGHMOON
FEITICOSELVAGEM WILDEVENT BELIEVEINMAGIC
JINGLEMOVIE AMIGONI JINGLESOUND
XEIQUENEDAWI MRNEDAWI HIPERVENCEDORA
MAQUINADORAUL SHANGHAIBOBBY BELEZANATURAL
CHAPADO AMIGONI NACCHERA
TOURDEFORCE DROSSELMEYER NAUGHTYLADY
HERMOSABIANCA HINTONWELLS FAVAS
DESEJADAOPAL REDATTORE DESEJADATIME
TIGEROFJOY TIGERHEART GLINTOFJOY
GETACLUE WILDEVENT ALLISWELL
GLORIOSO FARENHEIT GENTILEZA
JETLAG PUBLICSPEAKER EMISSORAREGIONAL
SOUTHOFFRANCE VETTORI QUEENDESEJADA
AGASSI WILDEVENT GRANDIASK
GALA CISNEBRANCO UNACAMPEONA
ONLYYOU JEUNETURC JOLIECAMILA
QUEIDEIA QUICKROAD IDEIADELADY
WALKAWAY SKYPILOT SUPERHAMPSHIRE
WOW SKYPILOT PODEROSADODGE
HOTQUARTZ PLENTYOFKICKS HELIDADDY
TORTURADA QUEFENOMENO ENCANTAMENTO
ARTILHEIRONATO TRINNIBERG HACKER
QUERIDINHA DIDIMO LARANJAEVERDE
TODAYANDTOMORROW PUTITBACK XASTRIDHALO
CANCAN TIGERHEART CUCALEGAL
HIERARQUIA DROSSELMEYER LAGANADORA
LUCKYDOIGUASSU INEXPLICABLE RAPRANCE
JOLLYQUIZ PLENTYOFKICKS JOLIESSE
ARRIVEDERCI PUTITBACK PIPPA
SERTAODEBIRIGUI PUTITBACK HELENADEBIRIGUI
RIOAMAZONAS SALTO DISCREETFUN
HORADAONCA SILENTTIMES WINNINGTRADITION
TURKISH SHANGHAIBOBBY ENDLESSLY
OLYMPICIDAHO ACTEONMAN MISSSERENA
SAMBADEBIRIGUI KARADEBIRIGUI EXTASEDEBIRIGUI
GENERALBOBBY SHANGHAIBOBBY QUEENNISHKA
MISSSERENA SINGSPIEL VALNERINA
ADAGADOREI TRINNIBERG KESEGREDO
OLYMPICINDIANA FIRSTAMERICAN ULAYA
ALARIFEDASERRA FORESTRY LABOQUITA
UTOPISTA TIGERHEART OJOSDEMIEL
MIRASCHENDEL TOPHAT HASHTAG
APAIXONADOTHUNDER DESEJADOTHUNDER BEAUTYNYMPHET
MUNDOLOUCO THAPPROVAL BIANNUALSPECIAL
UNOOLHAR PLENTYOFKICKS OUVAIOUVAI
CHILLYNOSE SILENTTIMES CHIANTI
ONEWISH DUBAIDUST RUGA
TANTARIQUEZA MELLONMARTINI TANAAM
MARIOSERGIO SHANGHAIBOBBY GAROTADAREPUBLICA
MARACUJASWEET THAPPROVAL UNACELEBRITA
FOLLSQUIRK CHOCTAWRIDGE FANTASYLAKE
OUTSTANDINGGIRL POUNCED RACKET
GEORGEWASHINGTON REDATTORE PRINCESACARINA
DONITA WATCHMON QUEENPORA
GASIDEAL WILDEVENT JEWELRY
CAPEFLOWER CAPETOWN KHEDIRA
GIOIADIVIVERE IMPRESSION GRANDPLACE
XEIQUETURC JEUNETURC KIVENCEDORA
DESERTO MINION NICEPOINT
HEMISFERIO SIPHON ISOLAMADRE
MRMUSCELS THAPPROVAL VICTORIAQUEEN
DHARMA NEDAWI KHARMA
GATEKEEPER NUGGETDOFAXINA LOVEANDFEELING
MISSCAROLA THAPPROVAL AVASSALADORA
JOEGOLD CHRISTINESOUTLAW TRUECLUTTER
PAPERPLANE FLYMETOTHEMOON GIMMEKISS
URSA KAPODITUTTI QUERIDINHADOPAPAI
DREAMSOFBAFRA ODYSSEUS TRINITARIA
NOVAIORQUE QUEFENOMENO DREAMSOFBAFRA
HORAMAGICA SIPHON CONVOCATORIA
MYTOYASUNSHINE THAPPROVAL GARBOSAVICTORIA
FLORESTACAT DISCREETCAT ALTAFLORESTA
HEARTROSE SIPHON VECHIASENHORA
HONORISMIO SIPHON ESPANHOLAMIA
JUNIORSCHOOL TIGERHEART UDIGRUDI
JEUNECOUREUR AMIGONI LADYCHALMETTE
REXAHIL FORESTRY NOVAEDICAO
OLYMPICINDIA SHANGHAIBOBBY JESUISBELLE
JOURNALDUSOIR AMIGONI TINHAQUESER
ANGELIQUEKERBER DISCREETCAT TABLEMOUNTAIN
TABLEMOUNTAIN ELUSIVEQUALITY DEMEMORIA
MAGIANEGRA MOLENGAO ALTAMIRA
BELLABARDOT NEDAWI ORNELLAINLOVE
SHANGHAIRUBBY SHANGHAIBOBBY MAGICROBERTA
ACELERADOR TRINNIBERG RUNJOLIERUN
MAINATTRACTION SETEMBROCHOVE HEMEROCALLE
NUREYEVA CONTROLLER UCRAINAPOINT
GUABIROBADAMATA NUGGETDOFAXINA BOWTIE
MIAUCAT THAPPROVAL GOOLDEPLACA
GALLIPOLLI WILDEVENT CARTOLINA
JUSTINACTEON ACTEONMAN LAZEEZ
MEUGRANDEAMOR BOLDSTART HONRARIA
HERFORD FORESTRY ARACELIA
NOSTRACASA PLENTYOFKICKS ESTRELADAINDIA
QUESTIONTIME SALTO ILHADAMAGIA
ACROBATBLADE TRINNIBERG WITCHBLADE
NAOMIBROADWAY SALTO VIABROADWAY
QUEENS TIGERHEART CHOCOLATIER
SABUGODEBIRIGUI KARADEBIRIGUI FIRSTWORLD
GARGALO PUTITBACK QUATREAVENTURES
TUESMAVIE SHANGHAIBOBBY INEGRITA
BUZZERCAT TIGERHEART TREFIORI
TENDERQUEST NEDAWI TUTORIAL
DAISYQUIT POUNCED DAISYVASE
ATTIMO TRINNIBERG LAPIUVELOCE
CUFFA WILDEVENT BRUTEFORCE
GOLDENPACIFIC AGNESGOLD PACIFICGIRL
JOUET DISCREETCAT MOYA
GETPRIZE NUGGETDOFAXINA AUTENTICASTAR
QUICKALELUIA QUICKROAD ALELUIAALELUIA
ULTRAFORTE TIGERHEART ONSTAGE
DALHECONQUISTADORA AGNESGOLD SPADE
DICKDOJAGUARETE KODIAKKOWBOY ANUNCIADA
MOONGLOW MAJORSTORM LASPALMERAS
CAPRICRUISE SILENTTIMES CAIANAFOLIA
HONORAVELBISCA SIPHON LASIROQUE
HIGHLIGHTED DISCREETCAT ANTONELLABABY
GOINGTO REDATTORE GALHETA
MORENALECA THAPPROVAL DANGERHAIL
NOOAHBROOK ALBROOK SECRETROMANCE
SASSYQUICK NEDAWI SASSYDOLL
GRITO MRNEDAWI EROTICLIKE
JUSTSPEAKER PUBLICSPEAKER MULATAASSANHADA
WINNERSALTO SALTO WINNERFRIEND
SEDUCAODEBIRIGUI SHANGHAIBOBBY JIBOIADEBIRIGUI
HELENICAGOLD SIPHON PTGOLD
ACTIVEAPPROVAL THAPPROVAL ACTIONSTREET
GARRISON DISCREETCAT NAMEOFROSE
OLIMPICO JEUNETURC INCREDIBLEMELODY
PUNTONEGRO LAFURIANEGRA EMMATHOMPSON
NIVELALTO QUEFENOMENO BOLLINGER
MANMACHO THAPPROVAL GIGABAIT
AROMATICBERG TRINNIBERG AROMATICLADY
PARTIDAFINAL WILDEVENT ARRANCADAFINAL
BELLAWATCH WATCHMON BELLAMORE
HVAR DUBAIDUST MAGICRAFAELA
BABYCAT FORESTRY GLAD
QUICKHILLIE QUICKROAD DESEJADAHILLIE
NORTENHO THAPPROVAL FARUSCA
SOVEREIGN FORESTRY ENGLISHHOME
PIRAMIDEDOAMOR PIRAMIDESOLAR MIRTINATOP
LEADEROFDALLAS POUNCED OLYMPICDALLAS
HALSTON SETEMBROCHOVE LONDRINITA
LADYDOIGUASSU AGNESGOLD MAGNIFICENTLADY
GIGISWEET NUGGETDOFAXINA ANDAINA
COIDELOQUI PIONEERING UNDYGRUDI
NEWSILVERTALK PIONEERING SONHODEPRATA
PIMPERSPARADISE PUTITBACK BYEBYECAROLINE
MAMYBLUE ZITROMAX GRAPHICS
OPERABALE TIMEFORFUN NACHT
PONTASECA FORESTRY PONTANETA
ONELADY JEUNETURC LOVELYLADY
CARONEDAWI MRNEDAWI OLYMPICCAMPINAS
MONTECASINO PUTITBACK SUPERAGUIA
HEROINAMIA SIPHON ENERGIABASANO
SAFIRADEBIRIGUI KARADEBIRIGUI ENCANTODEBIRIGUI
SONATADEBIRIGUI KARADEBIRIGUI INDIANADEBIRIGUI
DINUOVO NEDAWI DIVERTENTE
NORTHERNTOWN QUEFENOMENO REFUGEE
MISTERPIPO THAPPROVAL ODOIA
AJURICABA TRINNIBERG JAPIRACA
QUEMACHOTCHE FIRSTAMERICAN DIVADAVITORIA
ORIENTAL QUICKROAD GIRAFINHA
SEREIADEBIRIGUI SHANGHAIBOBBY PRINCESAALEGRE
GATAKIJA WILDEVENT DANCEMASTER
NASHVILLESONG QUEFENOMENO AMARANTA
CARASALTO SALTO CARASOLA
HEMBRA FORESTRY ALTAVISTA
BLACKCELLO PUTITBACK QUANTOCARINA
SICUT TIGERHEART NIP
SHANGHAIPRINCESS SHANGHAIBOBBY PEPSICRIS
FLYINGFILLY AMIGONI UPGRADE
FANGIO SALTO OAKSTYPE
MODIGLIANI SALTO ULADELORENA
JETACTEON ACTEONMAN PROUDDANEHILL
HIBRIDO SIPHON UNICABAMBINA
AMAZING DISCREETCAT OURREALITY
AMAZINGCAT DISCREETCAT OURREALITY
HARDHORSE HINTONWELLS INVIDA
MARYLEBONNE SETEMBROCHOVE DREAMWORKS
POPPINSMARY SHANGHAIBOBBY POPLADY
HEARTDARLING SIPHON SWEETROSE
MONTECASTELO WILDEVENT TRIMSTAR
JACKUP SALTO COUNTESSOFKENT
OVERTIMES SILENTTIMES SESAMESTREET
JOEHALO CHRISTINESOUTLAW CABRIOLITA
AVIAOSURENO FIRSTAMERICAN NOTAVELSURENA
FUEGOENSUENOS KODIAKKOWBOY DREAMS
HABILEBOBBY SHANGHAIBOBBY HABILEBIANCA
SAFRADEBIRIGUI SHANGHAIBOBBY LOVEDEBIRIGUI
OVERCAT DISCREETCAT OVERANDABOVE
DEUSADOJAGUARETE PUBLICPURSE FLOWERFEST
MAGICHOPE PUBLICPURSE WESTHOPE
STILLRAINING TORRENTIAL STORMBREAKER
GUERRANUCLEAR WILDEVENT SUPERCLASSE
ATIRADORKOWBOY KODIAKKOWBOY TIRONOVENTO
LOBAO SHANGHAIBOBBY FIREHEART
GALLOWAY CISNEBRANCO SCENEDAMOUR
HASSAN FORESTRY SAARA
DIVADOJAGUARETE KODIAKKOWBOY DIVINAPAT
COMILONA PIONEERING ULTRAOLIMPIC
LADYAMERICAN FORESTRY SECONDAMERICAN
BLUEMARTINI MELLONMARTINI BELABLUE
MASTERTIKO TIMEFORFUN QUARESMEIRA
OSOLEMIO JEUNETURC FRASCATTI
HEYJUDIE QUICKROAD FUGAZI
POWERQUARK QUICKROAD PARISIT
LOVELETTERS SHANGHAIBOBBY DESEJADAFIRST
URSAMAJOR SILENTTIMES URLOVELY
HORTALICIA SIPHON DARCY
GOLDSTAR NEDAWI NAOMI
MONAHATOUM THAPPROVAL TONTURA
ANOTHERQUITZ NEDAWI ANOTHER
GANHADINHEIRO PUTITBACK ALICEHOOP
MIRACLEMILE SETEMBROCHOVE CARLY
HEVEA AGNESGOLD CHRISLADY
DUTYDOJAGUARETE KODIAKKOWBOY CINEASTA
BRUNACAPRESE QUICKROAD VANITYSHU
MITTI SALTO BETYOURDREAM
ROCKKING CITADELROC DISSEMEDISSE
AMULETTO DESEJADOTHUNDER ONCALIGEIRA
MYGIRL DROSSELMEYER HURRYUP
SURPRISING FIRSTAMERICAN LICCACHAN
ALAYAN NEDAWI AEKAEAE
GIRACA NUGGETDOFAXINA ROASTBEEF
EXTREMELYHAPPY SKYPILOT CESTMAGNIFIQUE
MONACOREALTY THAPPROVAL ZAHARA
AVACANOEIRO TRINNIBERG VULCANITE
PRINCESACATARINA CRAFTYCT BUBINETTE
TUERREDDA DROSSELMEYER HONEYMUSTARD
XOMANA TOPHAT KIFORTALEZA
